,Country,LifeExpectancy,Alcohol,HappinessScore
46,Ireland,80.06666666666666,12.654,6.907
47,Israel,81.22000000000001,2.497333333333334,7.267
48,Italy,82.15333333333334,8.266666666666667,5.977
49,Jamaica,74.16666666666666,3.6239999999999997,5.51
50,Japan,82.46,7.040666666666667,5.921
51,Jordan,72.91333333333333,0.5173333333333333,5.303
52,Kazakhstan,66.41333333333334,6.641333333333333,5.919
53,Kenya,57.086666666666666,1.6019999999999999,4.356
54,Kyrgyzstan,68.94666666666669,2.267333333333333,5.185
55,Latvia,73.67333333333333,8.864,5.56
56,Lebanon,74.15333333333334,1.7853333333333339,5.129
57,Liberia,57.26666666666666,3.2580000000000005,3.622
58,Lithuania,72.75333333333333,12.632666666666667,5.813
59,Luxembourg,80.7,11.921999999999999,6.871
60,Madagascar,62.559999999999995,0.8200000000000001,3.695
61,Malawi,49.33333333333334,0.9193333333333331,4.156000000000001
62,Mali,54.72,0.438,4.073
63,Malta,80.27333333333333,7.130000000000001,6.4879999999999995
64,Mauritius,72.58666666666666,2.906666666666667,5.648
65,Mexico,75.65333333333334,5.114,6.778
66,Mongolia,65.69333333333333,2.3539999999999996,4.907
67,Montenegro,74.45,2.584285714285713,5.1610000000000005
68,Morocco,72.01333333333334,0.5186666666666667,5.151
69,Namibia,60.040000000000006,4.710666666666667,4.574
70,Netherlands,81.07999999999998,8.846666666666666,7.3389999999999995
71,New Zealand,81.33749999999999,9.16625,7.334
72,Nicaragua,73.36,3.5966666666666667,5.992000000000001
73,Niger,56.66,0.09133333333333335,3.8560000000000003
74,Nigeria,51.146666666666675,8.646666666666667,4.875
75,Norway,81.79375,6.234375000000001,7.497999999999999
76,Panama,76.40000000000002,6.212,6.7010000000000005
77,Paraguay,73.05333333333334,5.527333333333334,5.537999999999999
78,Peru,73.54,4.278666666666666,5.742999999999999
79,Philippines,67.51333333333332,4.510666666666666,5.279
80,Poland,75.52666666666667,9.99866666666667,5.835
81,Portugal,79.92000000000002,12.211333333333334,5.122999999999999
82,Qatar,76.95333333333335,1.0813333333333333,6.375
83,Romania,73.98666666666668,8.968666666666667,5.528
84,Russian Federation,67.28,11.127999999999998,5.856
85,Senegal,62.29333333333333,0.30933333333333335,4.218999999999999
86,Serbia,73.84666666666665,8.682666666666668,5.1770000000000005
87,Sierra Leone,45.78666666666667,3.154666666666667,4.635
88,Singapore,81.47500000000001,1.7625000000000002,6.739
89,Slovakia,74.61999999999999,10.473333333333333,6.077999999999999
90,Slovenia,79.18,10.754666666666669,5.768
91,South Africa,57.14,7.588666666666666,4.459
92,Spain,82.02,10.024000000000001,6.361000000000001
93,Suriname,69.98,4.984,6.269
94,Sweden,82.52666666666666,6.926666666666666,7.291
95,Switzerland,82.26,10.337999999999997,7.5089999999999995
96,Thailand,72.96,6.131333333333332,6.474
97,Togo,56.44666666666667,0.9473333333333332,3.303
98,Trinidad and Tobago,71.06,6.044666666666666,6.167999999999999
99,Tunisia,74.29333333333334,1.3106666666666666,5.045
100,Turkey,73.78666666666668,1.4213333333333331,5.388999999999999
101,Turkmenistan,64.50666666666666,2.6546666666666665,5.6579999999999995
102,Ukraine,69.84666666666668,7.3693333333333335,4.324
103,United Arab Emirates,75.60666666666667,1.75,6.5729999999999995
104,Uruguay,76.01333333333332,6.172666666666667,6.545
105,Uzbekistan,67.94,1.608666666666667,5.987
106,Zambia,53.379999999999995,2.2393333333333336,4.795
107,Zimbabwe,49.386666666666656,4.482000000000001,4.1930000000000005
